1	79474
2	85721
3	79667
4	91094
5	65699
6	79198
7	79429
8	79395
9	78922
10	86131
11	78041
12	79231
13	79251
14	78235
15	79239
16	79256
17	79225
18	77623
19	79387
20	78945
21	82390
22	79428
23	79595
24	79596
25	79348
26	79289
27	79501
28	83283
29	79060
30	78221
31	79210
32	78158
33	78669
34	79237
35	84063
36	79506
37	88604
38	78251
39	78899
40	79227
41	78765
42	77840
43	78606
44	79207
45	79175
46	79330
47	79111
48	79505
49	79479
50	77930
51	78591
52	79333
53	79521
54	77528
55	78790
56	79025
57	79044
58	77785
59	79004
60	77513
61	78163
62	79354
63	79484
64	79476
65	79391
66	79677
67	79509
68	78218
69	78315
70	77537
71	78155
72	77627
73	79435
74	79015
75	78286
76	79852
77	86238
78	84692
79	79018
80	77992
81	79095
82	79577
83	79439
84	91424
85	78039
86	79519
87	79676
88	90474
89	79945
90	79799
91	57276
92	79094
93	79277
94	79276
95	79275
96	78608
97	79346
98	78878
99	79190
100	79386
101	79324
102	79727
103	78037
104	78001
105	79835
106	79964
107	79824
108	56936
109	79498
110	81788
111	78789
112	77327
113	78969
114	79418
115	88341
116	81612
117	79185
118	79090
119	79651
120	79657
121	79339
122	79948
123	79927
124	79050
125	79401
126	78528
127	79114
128	79161
129	79155
130	79572
131	79206
132	79669
133	79635
134	79844
135	79403
136	87988
137	79834
138	88655
139	58260
140	79503
141	79222
142	79135
143	79255
144	85358
145	79579
146	79656
147	86361
148	53903
149	89260
150	90686
151	88420
152	77924
153	79516
154	79010
155	79680
156	77784
157	79773
158	79261
159	79552
160	79653
161	79929
162	78960
163	79457
164	79632
165	79402
166	79722
167	90530
168	79680
169	79850
170	79868
171	79963
172	80025
173	87291
174	79311
175	78100
176	79739
177	79307
178	79242
179	79229
180	78808
181	78303
182	77995
183	79758
184	79759
185	79760
186	79672
187	79871
188	79906
189	79730
190	77705
191	78979
192	78549
193	80680
194	90060
195	79881
196	79779
197	79889
198	79524
199	78220
200	79481
201	78908
202	79630
203	79650
204	77787
205	79764
206	79718
207	79110
208	79876
209	79841
210	78257
211	79420
212	78148
213	78857
214	79399
215	79704
216	68533
217	78939
218	1275
