こんな,その,そんな,ちょっと,とう,とても,なく,もう,もっと,やっはり,よかっ,よく,キャスト,ストーリー,ラスト,人間,俳優,内容,印象,原作,台詞,好き,展開,役者,意味,描写,日本,映像,最後,最高,本当に,気持ち,演出,演技,物語,特に,素晴らしい,良かっ,良く,雰囲気,面白い,面白かっ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182649902143064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39596642249907993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12312437971661987,0.20848047122657443,0.0,0.0,0.2561045720912457,0.0,0.11500213356546762,0.1239187902532537,0.0,0.0,0.25107808133385223,0.12312437971661987,0.0,0.2416017202080335,0.22726788952466198,0.12080086010401675,0.0,0.254406173788401,0.0,0.0,0.0,0.31272070683986164,0.1306725096656148,0.0,0.0,0.13434918182230446,0.12553904066692612,0.12805228604562285,0.10970286744043495,0.24944717107037828,0.0,0.0,0.11500213356546762,0.4192952144278106,0.0,0.0,0.0,0.0,0.0,0.12978665319701851,0.34294271568372464,0.12978665319701851
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.16767651202777561,0.0,0.16543581448794373,0.0,0.14857580619432265,0.160095587739868,0.0,0.0,0.0,0.0,0.0,0.312134820850163,0.0,0.1560674104250815,0.1699821662903131,0.1643387005072689,0.0,0.17116055084363774,0.0,0.13467208445583864,0.0,0.15906925733824598,0.5134816525309132,0.0,0.0,0.16543581448794373,0.14172947463198882,0.0,0.0,0.1643387005072689,0.445727418582968,0.0,0.0,0.0,0.14947456719805763,0.0,0.0,0.0,0.29537417484620604,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7046404084213805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7095645811480094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.5932973369080506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5440556405696295,0.0,0.0,0.0,0.5932973369080506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.15985737251964552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6970522939391091,0.18525387995074602,0.0,0.0,0.0,0.0,0.0,0.0,0.20039252533146143,0.0,0.0,0.0,0.0,0.0,0.16823457893895563,0.1912695664738421,0.0,0.0,0.5290837687895337,0.0,0.1722105070084484,0.19903402219046043,0.0,0.0,0.0,0.0,0.0,0.0
0.2640376216834126,0.2235409750562642,0.13916236295062906,0.2640376216834126,0.0,0.0,0.0,0.1328706091176278,0.0,0.0,0.0,0.0,0.1420539252115781,0.1295274415700052,0.0,0.0,0.141075930280016,0.1363921613722434,0.1328706091176278,0.0,0.14304662738403018,0.0,0.14011221315762856,0.1320188108417063,0.0,0.0,0.0,0.0,0.0,0.0,0.13460790544652002,0.0,0.36992945554362994,0.4495848484904551,0.48163064417778084,0.0,0.0,0.0,0.13730270615952755,0.0,0.12257223038901614,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
